City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
274,Sobolevo,RU,2021-07-12 15:36:37,54.4299,31.8996,78.66,71,39,5.37
275,Teeli,RU,2021-07-12 15:37:35,51.0333,90.2333,57.04,88,100,2.08
276,Gornopravdinsk,RU,2021-07-12 15:38:46,60.05,69.9,54.21,69,92,5.21
277,Broome,US,2021-07-12 15:37:10,42.2506,-75.833,77.16,89,90,1.99
278,Esperance,AU,2021-07-12 15:38:47,-33.8667,121.9,55.24,74,3,21.65
279,Constitucion,CL,2021-07-12 15:38:47,-35.3333,-72.4167,53.19,51,0,3.29
280,Warri,NG,2021-07-12 15:38:47,5.5167,5.75,83.68,61,64,8.86
281,Gazanjyk,TM,2021-07-12 15:38:48,39.2446,55.5154,96.06,16,0,7.34
282,Dongying,CN,2021-07-12 15:38:48,37.4564,118.4856,79.68,83,22,12.82
283,Whithorn,JM,2021-07-12 15:38:48,18.2604,-78.0378,84.45,51,86,5.23
284,Geraldton,AU,2021-07-12 15:37:17,-28.7667,114.6,64.81,77,90,23.02
285,Norman Wells,CA,2021-07-12 15:36:59,65.282,-126.8329,60.84,63,20,5.75
286,Ajaccio,FR,2021-07-12 15:38:49,42.0,8.9167,82.38,48,0,10.36
287,Lahat,ID,2021-07-12 15:38:49,-3.8,103.5333,72.14,96,87,3.22
288,Cortes,ES,2021-07-12 15:38:50,41.9395,-1.4396,78.85,44,11,28.01
289,Krasnoselkup,RU,2021-07-12 15:38:50,65.7,82.4667,49.05,52,87,13.76
290,Tautira,PF,2021-07-12 15:36:58,-17.7333,-149.15,73.42,79,43,20.45
291,Ouallam,NE,2021-07-12 15:38:50,14.3188,2.0866,99.05,33,70,14.81
